y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-43,-0.03,-0.39,270,0.21,2.43,1067,0.81,9.58,797,0.61,7.16
2008/2,142,0.11,1.36,176,0.13,1.69,977,0.74,9.38,801,0.61,7.69
2008/3,-200,-0.15,-1.8,194,0.15,1.74,975,0.74,8.76,781,0.59,7.02
2008/4,-584,-0.44,-5.42,145,0.11,1.35,935,0.71,8.68,790,0.6,7.34
2008/5,-405,-0.31,-3.64,216,0.16,1.94,927,0.71,8.33,711,0.54,6.39
2008/6,-261,-0.2,-2.42,259,0.2,2.41,896,0.68,8.32,637,0.49,5.92
2008/7,-266,-0.2,-2.39,266,0.2,2.39,924,0.7,8.31,658,0.5,5.92
2008/8,-95,-0.07,-0.85,262,0.2,2.36,923,0.7,8.3,661,0.5,5.95
2008/9,-215,-0.16,-2,337,0.26,3.13,1019,0.78,9.47,682,0.52,6.34
2008/10,184,0.14,1.66,398,0.3,3.58,1176,0.9,10.58,778,0.59,7
2008/11,337,0.26,3.13,655,0.5,6.09,1311,1,12.18,656,0.5,6.1
2008/12,-13,-0.01,-0.12,214,0.16,1.92,1016,0.77,9.14,802,0.61,7.21
2009/1,208,0.16,1.87,275,0.21,2.47,856,0.65,7.68,581,0.44,5.21
2009/2,-168,-0.13,-1.67,112,0.09,1.11,1100,0.84,10.92,988,0.75,9.81
2009/3,6,0,0.05,546,0.42,4.9,1325,1.01,11.88,779,0.59,6.99
2009/4,-548,-0.42,-5.08,-136,-0.1,-1.26,649,0.49,6.02,785,0.6,7.28
2009/5,-194,-0.15,-1.74,176,0.13,1.58,790,0.6,7.09,614,0.47,5.51
2009/6,-74,-0.06,-0.69,337,0.26,3.12,1077,0.82,9.99,740,0.56,6.86
2009/7,-134,-0.1,-1.2,369,0.28,3.31,1064,0.81,9.55,695,0.53,6.24
2009/8,-270,-0.21,-2.42,171,0.13,1.53,906,0.69,8.13,735,0.56,6.6
2009/9,-232,-0.18,-2.15,288,0.22,2.67,989,0.75,9.17,701,0.53,6.5
2009/10,442,0.34,3.97,477,0.36,4.28,1179,0.9,10.58,702,0.54,6.3
2009/11,402,0.31,3.73,442,0.34,4.1,1145,0.87,10.62,703,0.54,6.52
2009/12,94,0.07,0.84,393,0.3,3.53,1165,0.89,10.45,772,0.59,6.93
2010/1,24,0.02,0.22,247,0.19,2.22,1057,0.81,9.48,810,0.62,7.27
2010/2,-136,-0.1,-1.35,129,0.1,1.28,785,0.6,7.8,656,0.5,6.52
2010/3,-654,-0.5,-5.87,121,0.09,1.09,1000,0.76,8.97,879,0.67,7.89
2010/4,-513,-0.39,-4.76,98,0.07,0.91,861,0.66,7.99,763,0.58,7.08
2010/5,-790,-0.6,-7.09,85,0.06,0.76,811,0.62,7.28,726,0.55,6.52
2010/6,-1472,-1.12,-13.67,111,0.08,1.03,826,0.63,7.67,715,0.55,6.64
2010/7,-250,-0.19,-2.25,76,0.06,0.68,850,0.65,7.65,774,0.59,6.96
2010/8,-350,-0.27,-3.15,119,0.09,1.07,830,0.63,7.47,711,0.54,6.4
2010/9,-483,-0.37,-4.49,167,0.13,1.55,859,0.66,7.99,692,0.53,6.44
2010/10,-343,-0.26,-3.09,104,0.08,0.94,795,0.61,7.16,691,0.53,6.22
2010/11,-35,-0.03,-0.33,233,0.18,2.17,970,0.74,9.03,737,0.56,6.86
2010/12,-179,-0.14,-1.61,159,0.12,1.43,939,0.72,8.46,780,0.6,7.02
2011/1,-497,-0.38,-4.48,29,0.02,0.26,906,0.69,8.16,877,0.67,7.9
2011/2,-366,-0.28,-3.65,-5,-0,-0.05,749,0.57,7.47,754,0.58,7.52
2011/3,-679,-0.52,-6.12,79,0.06,0.71,1025,0.78,9.24,946,0.72,8.53
2011/4,-501,-0.38,-4.67,54,0.04,0.5,849,0.65,7.91,795,0.61,7.41
2011/5,-568,-0.44,-5.12,139,0.11,1.25,954,0.73,8.61,815,0.62,7.35
2011/6,-459,-0.35,-4.28,181,0.14,1.69,934,0.72,8.71,753,0.58,7.02
2011/7,-119,-0.09,-1.07,349,0.27,3.15,1015,0.78,9.16,666,0.51,6.01
2011/8,-356,-0.27,-3.21,328,0.25,2.96,1068,0.82,9.64,740,0.57,6.68
2011/9,-549,-0.42,-5.12,336,0.26,3.14,1087,0.83,10.15,751,0.58,7.01
2011/10,-138,-0.11,-1.25,331,0.25,2.99,1060,0.81,9.58,729,0.56,6.59
2011/11,8,0.01,0.07,353,0.27,3.3,1095,0.84,10.22,742,0.57,6.93
2011/12,-23,-0.02,-0.21,310,0.24,2.8,1091,0.84,9.86,781,0.6,7.06
2012/1,-285,-0.22,-2.58,139,0.11,1.26,904,0.69,8.19,765,0.59,6.93
2012/2,-561,-0.43,-5.43,160,0.12,1.55,1035,0.79,10.03,875,0.67,8.48
2012/3,-687,-0.53,-6.23,231,0.18,2.09,1164,0.89,10.56,933,0.72,8.46
2012/4,-453,-0.35,-4.25,228,0.18,2.14,1027,0.79,9.63,799,0.61,7.49
2012/5,-464,-0.36,-4.21,280,0.22,2.54,1084,0.83,9.84,804,0.62,7.3
2012/6,29,0.02,0.27,408,0.31,3.83,1129,0.87,10.59,721,0.55,6.76
2012/7,-395,-0.3,-3.59,155,0.12,1.41,998,0.77,9.06,843,0.65,7.65
2012/8,-489,-0.38,-4.44,433,0.33,3.93,1186,0.91,10.77,753,0.58,6.84
2012/9,-288,-0.22,-2.7,409,0.31,3.84,1149,0.88,10.79,740,0.57,6.95
2012/10,160,0.12,1.45,653,0.5,5.93,1422,1.09,12.92,769,0.59,6.99
2012/11,86,0.07,0.81,587,0.45,5.51,1298,1,12.18,711,0.55,6.67
2012/12,176,0.14,1.6,605,0.47,5.5,1262,0.97,11.46,657,0.51,5.97
2013/1,-144,-0.11,-1.3,375,0.29,3.4,1337,1.03,12.11,962,0.74,8.71
2013/2,-175,-0.13,-1.76,198,0.15,1.99,922,0.71,9.25,724,0.56,7.26
2013/3,-275,-0.21,-2.49,147,0.11,1.33,950,0.73,8.61,803,0.62,7.28
2013/4,-361,-0.28,-3.38,95,0.07,0.89,877,0.68,8.21,782,0.6,7.32
2013/5,-627,-0.48,-5.68,143,0.11,1.3,911,0.7,8.26,768,0.59,6.96
2013/6,-318,-0.24,-2.98,157,0.12,1.47,792,0.61,7.42,635,0.49,5.95
2013/7,-302,-0.23,-2.74,112,0.09,1.02,937,0.72,8.5,825,0.64,7.48
2013/8,-499,-0.38,-4.53,155,0.12,1.41,861,0.66,7.81,706,0.54,6.41
2013/9,-507,-0.39,-4.76,227,0.18,2.13,984,0.76,9.23,757,0.58,7.1
2013/10,-240,-0.19,-2.18,295,0.23,2.68,1043,0.8,9.47,748,0.58,6.79
2013/11,-260,-0.2,-2.44,197,0.15,1.85,942,0.73,8.84,745,0.57,6.99
2013/12,-147,-0.11,-1.34,192,0.15,1.74,1035,0.8,9.4,843,0.65,7.66
2014/1,-355,-0.27,-3.23,73,0.06,0.66,897,0.69,8.15,824,0.64,7.49
2014/2,-283,-0.22,-2.85,-6,-0,-0.06,858,0.66,8.63,864,0.67,8.69
2014/3,-464,-0.36,-4.22,82,0.06,0.75,1021,0.79,9.28,939,0.73,8.54
2014/4,-478,-0.37,-4.49,170,0.13,1.6,1007,0.78,9.46,837,0.65,7.87
2014/5,-436,-0.34,-3.97,148,0.11,1.35,889,0.69,8.09,741,0.57,6.74
2014/6,-467,-0.36,-4.39,124,0.1,1.17,898,0.69,8.44,774,0.6,7.28
2014/7,-401,-0.31,-3.65,135,0.1,1.23,1028,0.79,9.36,893,0.69,8.13
2014/8,-530,-0.41,-4.83,196,0.15,1.78,920,0.71,8.38,724,0.56,6.59
2014/9,-473,-0.37,-4.45,293,0.23,2.76,1116,0.86,10.51,823,0.64,7.75
2014/10,-28,-0.02,-0.26,351,0.27,3.2,1190,0.92,10.84,839,0.65,7.65
2014/11,128,0.1,1.21,399,0.31,3.76,1084,0.84,10.21,685,0.53,6.45
2014/12,-752,-0.58,-6.85,304,0.24,2.77,1125,0.87,10.25,821,0.64,7.48
2015/1,-162,-0.13,-1.48,234,0.18,2.13,1096,0.85,9.99,862,0.67,7.86
2015/2,-259,-0.2,-2.61,132,0.1,1.33,918,0.71,9.27,786,0.61,7.94
2015/3,0,0,0,140,0.11,1.28,1105,0.86,10.08,965,0.75,8.8
2015/4,0,0,0,118,0.09,1.11,958,0.74,9.03,840,0.65,7.92
2015/5,0,0,0,285,0.22,2.6,1074,0.83,9.81,789,0.61,7.2
2015/6,-232,-0.18,-2.19,240,0.19,2.26,1092,0.85,10.3,852,0.66,8.04
2015/7,-344,-0.27,-3.14,184,0.14,1.68,1105,0.86,10.09,921,0.71,8.41
2015/8,-401,-0.31,-3.66,255,0.2,2.33,1057,0.82,9.66,802,0.62,7.33
2015/9,-234,-0.18,-2.21,336,0.26,3.17,1032,0.8,9.75,696,0.54,6.57
2015/10,51,0.04,0.47,308,0.24,2.81,1223,0.95,11.18,915,0.71,8.36
2015/11,350,0.27,3.31,558,0.43,5.27,1300,1.01,12.28,742,0.58,7.01
2015/12,376,0.29,3.44,485,0.38,4.43,1354,1.05,12.37,869,0.67,7.94
2016/1,223,0.17,2.04,287,0.22,2.63,1118,0.87,10.24,831,0.64,7.61
2016/2,-86,-0.07,-0.84,54,0.04,0.53,991,0.77,9.7,937,0.73,9.17
2016/3,-264,-0.2,-2.42,108,0.08,0.99,1267,0.98,11.6,1159,0.9,10.62
2016/4,-22,-0.02,-0.21,118,0.09,1.12,1018,0.79,9.64,900,0.7,8.52
2016/5,-147,-0.11,-1.35,237,0.18,2.17,1147,0.89,10.51,910,0.71,8.34
2016/6,27,0.02,0.26,291,0.23,2.75,1071,0.83,10.14,780,0.61,7.38
2016/7,167,0.13,1.53,397,0.31,3.64,1192,0.92,10.92,795,0.62,7.28
2016/8,-625,-0.48,-5.72,112,0.09,1.03,971,0.75,8.9,859,0.67,7.87
2016/9,-680,-0.53,-6.44,351,0.27,3.32,1136,0.88,10.76,785,0.61,7.44
2016/10,-215,-0.17,-1.97,538,0.42,4.93,1360,1.06,12.47,822,0.64,7.54
2016/11,-285,-0.22,-2.7,360,0.28,3.41,1159,0.9,10.98,799,0.62,7.57
2016/12,-19,-0.01,-0.17,570,0.44,5.23,1377,1.07,12.63,807,0.63,7.4
2017/1,-304,-0.24,-2.78,187,0.15,1.71,1014,0.79,9.28,827,0.64,7.57
2017/2,-496,-0.39,-5.02,90,0.07,0.91,1038,0.81,10.52,948,0.74,9.61
2017/3,-461,-0.36,-4.22,191,0.15,1.75,1283,1,11.75,1092,0.85,10
2017/4,-435,-0.34,-4.12,138,0.11,1.31,971,0.76,9.19,833,0.65,7.88
2017/5,-665,-0.52,-6.09,129,0.1,1.18,988,0.77,9.05,859,0.67,7.87
2017/6,-362,-0.28,-3.43,170,0.13,1.61,1025,0.8,9.71,855,0.67,8.1
2017/7,-378,-0.29,-3.47,186,0.14,1.71,1044,0.81,9.57,858,0.67,7.87
2017/8,-619,-0.48,-5.68,206,0.16,1.89,1128,0.88,10.35,922,0.72,8.46
2017/9,-435,-0.34,-4.12,292,0.23,2.77,1084,0.84,10.28,792,0.62,7.51
2017/10,-57,-0.04,-0.52,329,0.26,3.02,1188,0.93,10.9,859,0.67,7.88
2017/11,-265,-0.21,-2.51,366,0.29,3.47,1143,0.89,10.84,777,0.61,7.37
2017/12,-211,-0.16,-1.94,325,0.25,2.98,1164,0.91,10.69,839,0.65,7.7
2018/1,-518,-0.4,-4.76,216,0.17,1.98,1214,0.95,11.15,998,0.78,9.16
2018/2,-636,-0.5,-6.47,-11,-0.01,-0.11,932,0.73,9.48,943,0.74,9.59
2018/3,-776,-0.61,-7.13,73,0.06,0.67,1134,0.89,10.42,1061,0.83,9.75
2018/4,-490,-0.38,-4.66,36,0.03,0.34,926,0.72,8.8,890,0.7,8.46
2018/5,-578,-0.45,-5.32,159,0.12,1.46,994,0.78,9.15,835,0.65,7.68
2018/6,-184,-0.14,-1.75,167,0.13,1.59,955,0.75,9.08,788,0.62,7.49
2018/7,-331,-0.26,-3.05,77,0.06,0.71,973,0.76,8.96,896,0.7,8.25
2018/8,-377,-0.29,-3.47,175,0.14,1.61,1057,0.83,9.73,882,0.69,8.12
2018/9,-257,-0.2,-2.45,227,0.18,2.16,956,0.75,9.1,729,0.57,6.94
2018/10,126,0.1,1.16,343,0.27,3.16,1232,0.96,11.35,889,0.7,8.19
2018/11,-66,-0.05,-0.63,345,0.27,3.28,1159,0.91,11.03,814,0.64,7.75
2018/12,-547,-0.43,-5.04,209,0.16,1.93,995,0.78,9.17,786,0.61,7.24
2019/1,-648,-0.51,-5.97,85,0.07,0.78,1155,0.9,10.65,1070,0.84,9.86
2019/2,-410,-0.32,-4.18,81,0.06,0.83,871,0.68,8.89,790,0.62,8.06
2019/3,-477,-0.37,-4.4,116,0.09,1.07,1016,0.8,9.37,900,0.71,8.3
2019/4,-620,-0.49,-5.91,101,0.08,0.96,994,0.78,9.48,893,0.7,8.51
2019/5,-558,-0.44,-5.15,116,0.09,1.07,996,0.78,9.19,880,0.69,8.12
2019/6,-387,-0.3,-3.69,90,0.07,0.86,890,0.7,8.49,800,0.63,7.63
2019/7,-450,-0.35,-4.16,172,0.13,1.59,1081,0.85,9.99,909,0.71,8.4
2019/8,-661,-0.52,-6.11,104,0.08,0.96,992,0.78,9.17,888,0.7,8.21
2019/9,-483,-0.38,-4.61,265,0.21,2.53,1053,0.83,10.06,788,0.62,7.53
2019/10,-191,-0.15,-1.77,220,0.17,2.03,1096,0.86,10.14,876,0.69,8.1
2019/11,-150,-0.12,-1.43,219,0.17,2.09,1050,0.82,10.04,831,0.65,7.94
2019/12,13,0.01,0.12,263,0.21,2.43,1214,0.95,11.23,951,0.75,8.8
2020/1,-353,-0.28,-3.27,67,0.05,0.62,921,0.72,8.54,854,0.67,7.92
2020/2,-688,-0.54,-6.82,-26,-0.02,-0.26,943,0.74,9.36,969,0.76,9.61
2020/3,0,0,0,81,0.06,0.75,1057,0.83,9.82,976,0.77,9.06
2020/4,-494,-0.39,-4.74,70,0.06,0.67,924,0.73,8.87,854,0.67,8.2
2020/5,-568,-0.45,-5.28,14,0.01,0.13,857,0.67,7.97,843,0.66,7.84
2020/6,-162,-0.13,-1.56,289,0.23,2.78,1103,0.87,10.6,814,0.64,7.82
2020/7,-396,-0.31,-3.68,60,0.05,0.56,950,0.75,8.83,890,0.7,8.28
2020/8,-629,-0.5,-5.85,150,0.12,1.4,957,0.75,8.9,807,0.64,7.51
2020/9,-778,-0.61,-7.48,153,0.12,1.47,991,0.78,9.53,838,0.66,8.06
2020/10,-202,-0.16,-1.88,220,0.17,2.05,1025,0.81,9.54,805,0.63,7.5
2020/11,-447,-0.35,-4.3,295,0.23,2.84,1086,0.86,10.45,791,0.62,7.61
2020/12,-669,-0.53,-6.23,331,0.26,3.08,1282,1.01,11.95,951,0.75,8.86
2021/1,-1016,-0.8,-9.44,-267,-0.21,-2.48,701,0.55,6.52,968,0.76,9
2021/2,-757,-0.6,-7.8,9,0.01,0.09,886,0.7,9.13,877,0.69,9.04
2021/3,-1262,-1,-11.75,25,0.02,0.23,988,0.78,9.2,963,0.76,8.97
2021/4,-962,-0.76,-9.26,115,0.09,1.11,946,0.75,9.11,831,0.66,8
2021/5,-903,-0.72,-8.42,-19,-0.02,-0.18,875,0.69,8.16,894,0.71,8.34
2021/6,-498,-0.39,-4.8,130,0.1,1.25,1111,0.88,10.71,981,0.78,9.46
2021/7,-884,-0.7,-8.25,-32,-0.03,-0.3,882,0.7,8.24,914,0.72,8.54
2021/8,-1142,-0.91,-10.67,42,0.03,0.39,944,0.75,8.82,902,0.72,8.43
2021/9,-1254,-1,-12.12,193,0.15,1.87,996,0.79,9.63,803,0.64,7.76
2021/10,-959,-0.76,-8.98,57,0.05,0.53,941,0.75,8.81,884,0.7,8.28
2021/11,-971,-0.77,-9.4,127,0.1,1.23,1072,0.85,10.38,945,0.75,9.15
2021/12,-732,-0.58,-6.86,159,0.13,1.49,1046,0.83,9.81,887,0.71,8.32
2022/1,-1022,-0.81,-9.59,29,0.02,0.27,990,0.79,9.29,961,0.77,9.02
2022/2,-1311,-1.05,-13.62,-174,-0.14,-1.81,711,0.57,7.39,885,0.71,9.2
2022/3,-2366,-1.89,-22.23,-239,-0.19,-2.25,944,0.75,8.88,1183,0.95,11.13
2022/4,-2369,-1.89,-23.05,-69,-0.06,-0.67,800,0.64,7.79,869,0.7,8.46
2022/5,-579,-0.46,-5.46,-319,-0.26,-3.01,666,0.53,6.28,985,0.79,9.29
2022/6,-53,-0.04,-0.52,-455,-0.36,-4.44,756,0.61,7.37,1211,0.97,11.81
2022/7,-706,-0.57,-6.66,-409,-0.33,-3.86,796,0.64,7.51,1205,0.97,11.38
2022/8,-536,-0.43,-5.06,-153,-0.12,-1.45,901,0.72,8.51,1054,0.85,9.95
